participantId,age_best,epistemic,target,choseIndividualAsBF,whyAnswer,why_rt_ms
TT026_1786301333961,6.617,Hmm,Riley,1,because the yellow guys says the blue guy likes to eat flowers a lot,96810
TT027_1785736841908,5.687,Yes,Rowan,0,because those two looked super cool,28498
TT027_1785736841908,5.687,Hmm,Taylor,0,because he looks cool that way,19799
TT028_1785887056236,6.522,Yes,Taylor,1,Because Robin doesn't say wug,97810
TT028_1785887056236,6.522,Hmm,Riley,1,Because Charlie always says it like a friend,28511
TT029_1788348270996,5.708,Yes,Wren,1,the other ine was here and i thought this was the other one,31853
TT029_1788348270996,5.708,Hmm,Riley,0,i am doing zig zagz with the options,40131
TT030_1784001817687,5.448,Hmm,Theo,1,because he looks like his boss.,21149
TT030_1784001817687,5.448,Yes,Blake,0,because normally the green one is the boss.,47001
TT030_1787441199089,8.742,Yes,Rowan,1,becasue the green person said rowan likes to play with bugs and he said it spacificly,98856
TT030_1787441199089,8.742,Hmm,Casey,1,becasue he said it spacificly.,64804
TT030_1788721261183,7.064,Hmm,Taylor,0,idk,45898
TT030_1788721261183,7.064,Yes,Wren,0,idk rilly,49968
TT033_1785791809908,6.798,Yes,Riley,1,Because the other one looks like a boss,36044
TT033_1785791809908,6.798,Hmm,Blake,1,Because she does not look like a boss,30091
TT034_1785633255333,6.456,Yes,Wren,1,because maybe the green soft guy is  the boss,16341
TT034_1785633255333,6.456,Hmm,Arlo,0,because green guy said arlo said he likes sniffing stuff before he touches it and he knows his name better,23341
TT034_1786457952487,5.01,Hmm,Casey,1,because i think that because it might be the opposite every time,37723
TT034_1786457952487,5.01,Yes,Theo,1,because it might be the opposite every time,26014
TT035_1785430721236,8.375,Yes,Jordan,1,because of what they said,28096
TT035_1785430721236,8.375,Hmm,Rowan,0,I guessed,63467
TT037_1787598554908,6.464,Hmm,Casey,1,"I did the other one before, and it makes sense that I should do it the next time different.",30114
TT037_1787598554908,6.464,Yes,Taylor,0,"""The same reason as last time""",16949
TT040_1786953154679,8.438,Yes,Casey,1,because river said wugs instead of Casey. So that probably means that he doesn't like her that much.,74182
TT040_1786953154679,8.438,Hmm,Blake,1,Because Bryn said Blake instead of wugs.,216420
TT042_1786395040833,6.987,Hmm,Wren,0,I picked him because he looked like he should be his boss.,101023
TT042_1786395040833,6.987,Yes,Casey,1,I picked him because  I just picked someone.,49402
TT042_1786830002145,5.966,Yes,Rowan,1,Just because,6178
TT042_1786830002145,5.966,Hmm,Sage,1,Because I don't know.,30935
TT043_1785923380868,7.655,Hmm,Wren,1,because the boss does not know the employ name,100344
TT043_1785923380868,7.655,Yes,Taylor,1,because boss deos not know employs name,60484
TT043_1788631607315,7.685,Yes,Sam,1,Because Nova said Wugs and Finn said Sam,55364
TT043_1788631607315,7.685,Hmm,Blake,1,Because every time the blue time does something else and it's the same kind of thing so it's hard to explain,43142
TT045_1785420091660,7.814,Hmm,Casey,1,Because River said Casey's name.,51845
TT045_1785420091660,7.814,Yes,Sam,1,Because Finn said Sam's name.,24041
TT046_1787489471876,5.588,Hmm,Arlo,1,because he's tinier,13564
TT046_1787489471876,5.588,Yes,Blake,1,because he's tinier he might make best friends,33612
TT047_1786567083959,7.477,Yes,Wren,0,because in games its the oposite anwser for each questions,356581
TT049_1786037818588,8.906,Yes,Sage,1,Because reed knows sage a lot but dosen't know other wugs as much as him,93997
TT049_1786037818588,8.906,Hmm,Arlo,0,beau dosen't know if other wugs like to sniff things before they pick it up,62996
TT049_1787488812402,7.647,Yes,Theo,1,"because Cleo says that he likes to eat, not Wuggs like to eat",96450
TT049_1787488812402,7.647,Hmm,Taylor,0,because they look like best friends,59878
TT054_1786828697501,5.966,Hmm,Taylor,0,Just because,23986
TT054_1786828697501,5.966,Yes,Sam,1,Because I choose the top one last time and I’m going to choose the bottom one this time.,49655
TT055_1787330601490,6.853,Yes,Theo,0,I don't know,10904
TT055_1787330601490,6.853,Hmm,Wren,1,Because he wanted to be his boss,20668
TT056_1787773798145,6.886,Hmm,Rowan,1,emery used rowans name,47428
TT057_1785874427455,8.95,Hmm,Rowan,1,I think because Jules seems to know more about him,89380
TT057_1785874427455,8.95,Yes,Jordan,1,i think that because he knew what  Jordan likes to do,75547
TT057_1788051344585,7.31,Hmm,Blake,1,I don't know,16715
TT058_1788220265672,6.294,Hmm,Wren,0,because they said Wren's name instead of Wugs,49198
TT058_1788220265672,6.294,Yes,Blake,0,because i like the idea,12814
TT062_1785591965877,6.853,Hmm,Wren,0,The one knows more about her,26825
TT062_1785591965877,6.853,Yes,Taylor,1,because she knows everything about Taylor,29979
TT071_1786376213790,5.985,Hmm,Riley,1,Because they like to spend time together,22039
TT071_1786376213790,5.985,Yes,Casey,0,Because they are best friends.,17161
TT071_1788391949498,5.402,Yes,Jordan,1,"Because the first round, they said the green person was the boss.",22216
TT071_1788391949498,5.402,Hmm,Blake,0,"IN other rounds, the green guys were the boss",21010
TT075_1787070060993,5.539,Yes,Wren,1,He's taking turns between orange and green,39703
TT075_1787070060993,5.539,Hmm,Rowan,1,he's following a pattern,14220
TT077_1785554480528,5.736,Hmm,Theo,1,not sure,47775
TT077_1785554480528,5.736,Yes,Rowan,0,not sure.,48318
TT078_1786322421603,6.59,Hmm,Casey,0,I chose that because of which character said the name.,40844
TT078_1786322421603,6.59,Yes,Blake,0,Because the same reason as last time.,32702
TT078_1786630729926,7.688,Yes,Sage,0,i dont no,37128
TT078_1786630729926,7.688,Hmm,Wren,1,i dont no,44453
TT081_1785811798524,8.304,Yes,Jordan,0,because Skylar didn't raise his voice and Reesse did,116763
TT081_1785811798524,8.304,Hmm,Sage,1,Because Reed said Sage's name.,41937
TT081_1785889462367,8.309,Hmm,Jordan,0,because he said wugs instead of Jordan,44312
TT081_1785889462367,8.309,Yes,Taylor,0,Robin said Wugs instead of Blake,36459
TT082_1786750954620,8.036,Yes,Jordan,0,"Because he doesn't really know that the whole pack of wugs doesn't whisper, only Jordan does.",52050
TT082_1786750954620,8.036,Hmm,Riley,0,Because CHarlie didnt know anything about Riley or Wugs eating flowers.,39400
TT084_1788214452084,6.812,Yes,Theo,1,"On the other one, they had an other boss and I put it in the other one. The green one.",61650
TT084_1788214452084,6.812,Hmm,Riley,0,I think that the one that's orange is his boss because he thinks that wuggles eat flowers like that.,63666
TT086_1786979143339,7.521,Yes,Sage,1,oh I think I am wrong,25414
TT086_1786979143339,7.521,Hmm,Wren,1,I think I am Wrong,16482
TT086_1788704333822,6.483,Yes,Arlo,1,just looks more like it,13210
TT086_1788704333822,6.483,Hmm,Theo,0,he looks more like a boss,19630
TT088_1785386717009,8.778,Hmm,Arlo,1,"Because the last one was like that, and also because the best friend wouldn't address their best friend as the kind of species they are.",57302
TT088_1785386717009,8.778,Yes,Wren,1,Because a best friend wouldn't address their best friend as a species type.,38591
TT089_1787172289033,7.855,Hmm,Blake,0,I just guessed,11742
TT089_1787172289033,7.855,Yes,Casey,0,It's hard to explain. The green one is the best friend because he learned about it and friends learn about their friends.,82937
TT089_1788535319846,7.581,Yes,Arlo,1,Because it was kind of like Cora was acting like his boss kind of.,22479
TT089_1788535319846,7.581,Hmm,Taylor,1,Because it was kind of like he acted like his boss.,18196
TT090_1787957044826,8.255,Yes,Taylor,1,Because bosses are more formal than friends,126982
TT090_1787957044826,8.255,Hmm,Jordan,1,Because friends are less formal than bosses,66733
TT091_1786798617089,5.292,Hmm,Rowan,1,to move on to the next page -- he doesn't get it at all.,25795
TT092_1785973945268,7.817,Yes,Sam,0,because not all wugs like putting rocks in the wugs pockets,239563
TT092_1785973945268,7.817,Hmm,Wren,1,because not all of wugs like to spin around before sitting down,44551
TT092_1787153454124,7.795,Yes,Sage,0,Because people's bosses know all about who works for them.,96631
TT094_1786568639996,7.135,Hmm,Sam,1,The green character looked like a boss.,64283
TT094_1786568639996,7.135,Yes,Riley,0,"Because Charlie said ""Yes, Riley likes to eat flowers."" The other one didn't know their name.",55123
TT095_1788203036860,6.47,Yes,Theo,1,I don't know exactly why. Because Cleo said that Theo likes to walk backwards.,53815
TT095_1788203036860,6.47,Hmm,Arlo,1,Because the green person said that Arlo likes to sniff things before picking them up.,63370
TT096_1786400102305,6.324,Hmm,Rowan,0,Because I think it's maybe the opposite each time.,18025
TT096_1786400102305,6.324,Yes,Riley,0,Because I think it is opposite every time.,15669
TT096_1786568516765,6.886,Hmm,Taylor,0,I  do  not  no,101249
TT096_1786568516765,6.886,Yes,Rowan,1,I  dont  no,70373
TT097_1785355975328,6.683,Yes,Theo,0,Because he's different from the other person. In most studies they do the opposite.,60519
TT097_1785355975328,6.683,Hmm,Rowan,0,Probably because in every study they just go back and forth in doing things. Sometimes do this and that.,137293
TT098_1785871452702,8.241,Yes,Jordan,1,He said that Jordan likes to whisper when they talk.,81557
TT098_1785871452702,8.241,Hmm,Sam,1,The other one doesn't know as much about him.,37868
